sepal_length,sepal_width,petal_length,petal_width,species
8Fu9sg2CmNKbWp8_46sd-0r0Q-CgiMe-eO4SVtRCfg==,t0IMRgQs6FFXxQELr0YlpgXT8k_1755bipUcb2Gg-w==,qjJ7iT_RVueljwrIAOe_Yeib2XwuBjUo2J3yK8IgVQ==,zPaPpIwHPQ7vG_qon7DkGFJnF_U4hJribDSjCTMNuA==,HPToWH56I11ZT2pc4t8EpG2gIEfyPlEhaqJcgADPIa4tLAp7k0nP
1M7PMyNo-hTSSXu0bYP1F__lip8yjsvbMdXu_Ly8UQ==,uoKbFsbL3TPDVrnJ0EfPooUfr9Ue03tOtkzn9j5GRQ==,jTrpRykuSFYeJiGU5ZQtrCnN3QaKiMcrfyMhD7NDcw==,QMeQoSdTxupvf3JnoFmpRvEeRtu5-Banj1G7IRRKxA==,3aiePJdkPnEevvrNLmZZO_U-nR8FBBq_oXCRIHhaRJywwsolucQ-
-nK3lDDi9Hd40awiPjzY93Zz3MIgb_2a32ej__s3EQ==,e9dqCYkUSXpx0MnsOCoPdoe9rmC9_tdkzM8uUnxX9g==,e-7qb00x50DmoAKzW6MJNwI-ZiaD0Ool0RUz7zyA2g==,B0eOwCiJO_PFhvERZD03lpLW_cEYHxeka3QfmvOtIA==,8bvZFOUjZ_ZcdMp1BylFHj3qIgqtRtPcYvFKuUPfXSq-bbYoZQPR
ylE-cjwO5qIoXsqul92535QDF6DhmqaexQXktBqV1w==,R7Uvt8NL_Hj7SHfTQbYCCtTrRPVo8Ml_BfDeOoLi9A==,SibSdTiQs_W6GYITfPB_-CRK5nmSNNa_VxmJK1RV6Q==,3lm18CF9doDF-MuUaESEgUUC2JjX6IFGmmHBwxhM7w==,qPKXTk7HOa1fEmvi436xGY_2uANJKKeRZ_NJtE7ZoGrC75rvu_YQ
LnRu8y-SwMwkNNjoRXV7cYx6ACAPZ7tJllfOJRBu9g==,6GtLQ-xqnsM8xO7vETKkXUkSZ10pfdabKnNj7xi_vA==,p6TWxSUW0mHaw9W3zuX4Wij4uXrUYEsxZdvyXsDPtw==,2m7rV45vy2EiMjmb98frKCS0wndoA2l4VODQT5-jFg==,u8VQY5dkOMoMIByKbNE5VYgbMhtPP5aKuqyGlRiMDoygrk1DgF4H
t3iGTtKLk-OZEOf1hGaWTNaS6smKFcDa22e-2NdcMw==,wsXGsC-LCgoEfoXqx__barBlp9-LTtk7gzRSpeYDRA==,abQUFECSeJst97jYQ0Ppfm-O0i0r0b0vZ6Jho_XHXg==,_TKct0eJTEKEc2KnXka14f7trAa5WNaDiFqtKzPviA==,xZvLKGcebXe1_1DDn39BopoXQ8ep3mOa9Z_Am5U8zfKvhO2iwjLF
ruEwCiON2_AP8Var3OTd1hlHtrXt4bhkHmHbJHfPrw==,kUZT8_QlL10JoLm3WlOg_dk-GgKkcIFIgSkj7nmzKw==,bPBfhaTdLIsyZueGYaq_WRr6XWIyShQsD6RjfEHxAQ==,AXdrDZzuwBZjzRRCxvLzOXQM41pkQg4FFFhp2UcT9Q==,VsuM_SLBOu0jChudWU9UUgA1NijxYmA7Rf_a6bhDJHqGsNabNlEx
dVDVrT-VyOJhNojkruB36UUHsr7pLeiO16U3PN1I2A==,X9Y86HCBlC-fePJARwX1uw5K8ZYbkd25MohMweWOng==,ed0YPPpk3LUBqZobO2eHT_DWj1a0A5-jJgfXY6TwoQ==,sOjAJRihTlt9l0SVEe-_1VcSKLoDAEmuqjclaP6wtA==,sGw6mW9g9_WQ5xISY41eqhDHpAua30ISpfVXT7Ey1g2wgc5DwrfR
mfSxfALcMuWGesny9ZqcAnpAX_3Jn3Xzmb3EEBJvIg==,X6tOebep3QGfU5NG7JtkYGtFVxheUCiIHbYU0rXFag==,zYYj6x2nxIJ-_hWJQ2cqL_IWbK8FLn9pS6zkt7M9sQ==,Kx-SeiWhVNX_Xg2nWQr2oWomdj3Q6FaeT3oK42Abdg==,TmSGgG5fuFKYlI0wK0whRM2u8h9F38WQzBvnjx4mrtQotx67srfe
kcYOUZ0QrKNQSdGhT56qq6JXQkaC2pqn7GaHynOfXg==,UgJhyB1WI-usmSlo1HNdvtAFmMBTq0LFMz6cOmXMog==,V2Jxiq06ma3zSVCmc0xdF8ZThdmeMjXgVkRbUsLiXA==,RvOoyBQbSm0aio_4q4QZgl9hn5mew619raMmY9tzVQ==,PHoNTO2d2PeHnGRnyZY6jqEKkSOiCUthlTUrfcum3LZWODFPE-PR
zApHMRxvHATtP3z7HUdxBPQXEJhnB8mzibydLwZ5Kw==,v2P98lwU135T21groV6V3rOpLI4cqvLZJaPmQytdpQ==,8uWQwBpktLiZjOU1oEE4Pbu2V6v-_XYi7QWm8dF0QQ==,mH4ARBN_hW6YyYLGPFdkTV_g3ydVMURe0bZX8HCK4Q==,gJumeXo0luVSaP7Z4HKTfsXRdvRQgdYgkxeUrHB5xPaWMLs5lIwD
WYRLPKwFvt58wjXkRc_8v5utKwj4XSkqEMKjAtKh5A==,LifJH-SUVP1YvLZqdydGGcSE1PVGVqtZFGsRW8Kd1Q==,s2ZgxMHtB2CmbhsSoQ8Fb6MSj46JhsOw5ZZcQF-V0g==,AgojPnDdyK6WlfzBLA5eaTZ3RCcNc5ebAGGOWgd6Jg==,b3Sud8Wwz_O1hetnw6EkQuMDDrazy2CL-EDkb-Yg9i9wptS9lpDo
lYfG9qf-XIrpoLfcxnSCJxLd6Caisbl5p864SHsyWA==,DzqFBaaB1CTMwMaRILmyic8ZWPsrLT4MXPwy3wdMvg==,BV6kxM78QXewzKct2OvSo65xllIOeonNLHa7aBWHzw==,fa1hmusN6iOpqDmxHFRwtuthjYCdG85e9QOv9v6jkg==,3kBlDxKPSfb48-zwLlnnbvbUp5sel6ShnCjQC-OD9PEPKlonAvZF
BPPV_K8ynMoH97APbVyJN5WU9amYnoAhkJchfOoh8w==,CuPpH_4zL_YXDooWSrIOHcrg2uro2ihd_VdzaR9frg==,w5aAPsPdw830U76kYGf8A_dWUfFHpAxsNcBtNNKxgQ==,biMa0MYWHO2ZFskxMLFRj8WHS8IRnzZzENuTfONggQ==,stlfpCgIzEWBhSMWL_0LlAXoXtpmUwsuoVKyHrJaSeMJWJ8BrjRs
lri6uPImVZmjrWmx6JkGfzqGX31Wl6rrThvzai78nw==,v563UqGy6sSTn_6mcd8ixCWzc4gfcEr0hO_VXC-iew==,MatUiZ1st_UcyOSDGeOZ7tZdbjzOGAmb-LgcGV7neQ==,bnmMQPaQQhZ0pvRZDSYy9eGPJhDjxhzOg1cO3l09dA==,mDy7lDFoAiZmmQtmNfrVFTzn2R2sUjyDQ-qiFsxqJkrcwy7yLxnS
pJiHWtGq2d-6QdEZQDj_zSOzvWG82FoCeOq1FESOwQ==,j65uAwCiaKGyAweN4Ypb0uAjndUZRR3K0RZFq3zq4w==,vA5OiGUtglQJuLzViBi1OTOwcPgN-KWXqSuxkROMlA==,aGHLWB33MkIds5GN9ac7WPPQSnbeBgcwjFN5xdmxdQ==,NKkPBPF-vTQ2yDcFpspNB5YesOz2YkIqKFK0qT_935m3CKH8P4SR
-fTiqBu6iKXXTtc5L7bajKWd5V_4Dchrzicztki7WQ==,f60Qp7-Ntpu4N6XPGqCA6N8AoeCyASlejHB93y3m8g==,zhWrchsJm0Y9usSezH9zHVqHcKoKkj3XtEvgia8Cvw==,pMNhBjplm6m3B6TeuVhi-u9Thsko26EKGhyiRigZgQ==,bJ5NuCmgOzt17x0KIL_KN2VNGkxdL6owmCizGgOBkYKF3jC0cs1U
wYk4IHXWcCrrVDnHLDMr55--lcj2J9V4Syml634A2g==,EUZyUauic7mCxuyEDCXiXw3k68E4ytfutsAlwSgN7Q==,8eoFT6h2TKA4Fd_XVV06IA7M3Uolq2OOr90sgR33UQ==,__xsXtoZ7Dovd5OtZ6jEKFzGhBTUzvYr66I4gJvCqQ==,qYLwWD2KrCR62vG9zrc3Z0UZqnEJFgKkB47SvPfntw__xP_OdPha
fjvtXs-8X4xrGL-y1G177oKAMAND1Zey_vAz_mssZA==,iuYzgkHBYxUoA8M9cuKd6HaGehfRLslAyv_puvbOOg==,e882Atw95LDmB96hZz1cwTVCjCdA2c7UV0Tr4ZhSlg==,vL_FyddiNyARxAypHaNmqkZS-lCQZv0xBH5pkP2uwg==,siIajorBnx6ZWoiZk95AGU0R6eCKxJURA1r2aIBJc4YaemNFm9Cw
V6nDoq5iOtIJMXWzAsKrhppAiy_nh2HM9thIyHSIWA==,qdzaj4jlw0Ms70XeQfazcYjR9OheJ_UMb1UTPj2_YA==,DdObpWZ4J6eaTHMkggvGiX8nujjbVKZBk82DPCUUEA==,l6qWOqJ7ZH2Hu4glEWygAeK4-q1xxeKmEnOrDGqKwg==,D7Ku9FcgsYxmyyTvFuPmYbqXCl4oMbycSzMYS-NYI_ft_B2-yBjz
Qz2mP3iiTIByggukhZRnzLz7URFSqb1Do7UuoeJl_w==,hEjSaa75QD01DO57RbyP7QL7l7mYyrNZuNEXTbw9iw==,eRiZMrNInK-fmTn9VGzoUtYhS0n2j_gGim6_GYbGfg==,bc19lLlQxghonzDISYdmTbUoGVhonWagbATbVVxMJg==,CV9LhUEzqIzaCrTSlP0U5eq_vZFmjQr2MasZlNSvHKgGW6gp26nh
BLodpLOBvN6xkZL5esXhvDoXaqSJ4WKD3IMv30amAg==,B9-nTaIetJd2xyHjUWTbQh1QwJG9_8bMiaofPakSjQ==,ZxGFWSMlPNaJAXM_WYAUfEiHCeZt0M7Jfb-vC5ETUA==,zzqIwcoxf9xiYIp1S9qee20WqAKd5nz-rwbCp5k4kw==,lkj8fNa2xtyeSNYsLqT1wi5m8R0EZAGFtgk1dvr0C-A4JnTLdyaO
DNA3uG54RUBTHkKTX4MKULPlsyMTJo7OZHGgF14LiQ==,du7A3nMCUCsalw7WcM9-XE033aYj5AT7Z9MvSRdhFA==,ctj1_UBP4t2wGg1HcJ_dShI7-MuaT2LzlF_HhZrsFg==,Ms6CGSorLYo9loBrrrh3NCz1CbaZVz01I14E-DslkQ==,DzoKxy41x4OK55jLNhgJMEmhYQqQGhrQNgxi0P1in5DfoLDaGg7S
9IRxgDEDnS7t2AriA2QtgPCv02kwUsyoqFIjqp2vtw==,bxbcoevBGHV1eJ-ucYk2Q7gUGn_OOSQKV3hOWA31zQ==,bmBLpycvPzdrJxhCj2G4AaFhTzRO8yloPu1whfvIkQ==,g0pW6r09-PktmG6Z8SKR0CQwQODatcBlQIDVWB3vag==,xP4q2XfrOB_mf_bavOxH81qSXWScITCIVDc_UGZDql06ioxXadij
gtQV6I1HShYlj7HG7NUhIS4SOpyZaL9bu4CXHuUQAQ==,s1bkNMYw8e4SnNzDkZ6SuQLZeGNHvooFp9oWKQ3LnQ==,SMQrtNPidafEWJ15sPEMEKXsOO7fK9Z6GwuKXT6QAQ==,2KpPnsBdY9k9TkVkHBqih9QyL5UNMvcj1tE5Qq1flQ==,6u6MHuZxa7aTBRSoRd2wxtAeT9ZLv6NhR5HNzMDQTGLkhxvsw72M
gXCVP_fju45aj4Ss3_wfG5XNoBbCdXioqIIaK-MZyw==,ewKoi5psQZU9LMATmGyinMHsVtXFT9pUNFxqB8vSrA==,HiPBMbpJBUCYUTzDBX5cHbI2Un96ZGZXRvkKuKRFnA==,-MX_gIB02PPaBdhM3t4I-eAjv7qRRnImMOMidVZNYA==,gHGYajq0w5c-v3OXM_zGPBMcCPQWpVcof4OUss3KcNAViEXNG58b
J71EPmqCSR7G1BllNbW71KZlu3wmREgAS2KuCRHAHA==,ZCOulpGPHYT5qfFvhX8J2flm4voL9auACM4yTcJuWg==,-jbstgEamMOFvqGNwjddyMJBV3TmDglki2aqyamU3g==,_eWMUZTitrpdurZ2J2kmeVXNVbs0uxDf_Uf3wde83w==,E20rgseZwz7OvKXYol9Y7dhK376PqrN9-9eqVVbLjYBgAZD8PERG
HsPlqvhXD_qYKUp_qDjTI2TljP_w27yjXbA_lIHliw==,u-25E1I2lyCggL8CkatnjoUd1JNEhD9LiBMC8WMHTg==,ooC4oWPk2rkZTC1Xc_rxs8S-En9zgYEqkRLOl_xcqQ==,VXcSZ6IxSBDNOW4IrG5S-8UI2kezIjBCv-z6swjq_A==,Jj1PRlpUeIVwcXlawVopc_i1vU-LKxWnZ7unYdxyZZpKviQZAgXG
ZByFWsGYxHS9wHn_nQctjNhlOQVd0gb3BIUolLs4uw==,5YnrtD5AYh_EO5lkP2oBSnyS2O4rc9b7FYmyWAdaXQ==,oUCQIjob6jBA6puW8ux1uakH6rNlHdqKNYuDgWQLPA==,qf8GeUdwhe0nKwX3Xz-gq8WxtXD2Y0W7Od2DRF1foQ==,qgZc5seg_StfpcZPbl29yVUfBSH42V_INNFqHXn9KdcMNrf-QJKy
O97mWmD5KYagL6I94Fh34hzyvpE1nMUrfNTDo_XL8A==,8FshM6xzaBioZa6ZfUYylPdtPxJA0nBW30dRglGzpQ==,gbSYsNoi9hgauyBpXFuc1O89eXPI0i9gyTmbEW80Jg==,qOpMIL_Lh80-nSE86fwkFUTdTYKxkV8vbL0sF72qYg==,Yh2WCULwGvM7DuGWkcrHMLomemDZSMttpP9AvjlDOJkAw5EPiZhx
ewuWMRDJTEyBbiqlpTXKWzNRGACPYYPK2EcekJMPyA==,lEytazPHUqzhG84KErra-0zQITvSUMuuOIQbjPmO5g==,FC5Qf8E8fhKaDSfcrQkl-KrcSJ1etEZPzWTTYYnToQ==,F4fRhJkWvE4axXTcgjBkTfBtT0NePU6OdETF96jqIg==,KttbzXpTyi3o-5_0D3tJhOK-bHDPWmunMoz-hsDSBuzD6YVmcUOG
WkqpLT52gUra6BxvUErI_I8YjhOuQkj63P-M91iyWQ==,LSNzysiXsdJldiV9Ug088EMoNdqLdBO6AlYvCAEhSg==,D-SkM35yYNSi50zvRaQcWPsK3kIEkZpTBjwjf7gamQ==,6YLiw6ktjK5AeAD62eJ8EJgz6nv9u9Ur9eJMBQovRA==,XyPmm92FzL8JifkTk2Q1ffkuR1E_gt7dSieLCMMjvgS4HtTgSUwo
IeBaFCMviRFYdetak2Djox1ZBbVNHwqEzCbCAZCeCw==,IKdez21KE8_FGjKCyNUUwCwC0XM6TAqWSqWiKb71GA==,wpN1Ze3G1vqzZCuRm5eY0c6f6XHS40NqZtnnjoX3lw==,SlJyowjuL1xQA7lPlmps1LKP2553jy8zr9C5LAc5xg==,2QM2R0nb9fbnq2-SQgf5yknOTEQkzld_CgDHyk1_lLxk8Vq73dns
f0c_Tx9QyfzWn17mNpI-az1OXkI_WLSAIGeGz_es5A==,e87QEUfXZ44yZQ1tUvns9ye1ua6s9TwHicaaZDPuZw==,bTHALRkXATQCgMhKEBXQbQrkpDxiYYjD1KW7RK5vOw==,oX25qOHrpgMOXst4UzmYMHDlWpG835tLghKRe1ePNA==,Y8QmkkxVW1YwriSYxAAxTeS9CWCyyrlHjj7aJ3Na_Bih1Yo3Lul5
Hn_vkTT1dAqEJJF6DU7TNfwt8VvC0KBKYudWN9cNMA==,hVt6ywvbr949VEnf9e1HRKlBOZlLgtgTRYg118Ouzg==,5MSzmdjUqTpkZyETV4T-QG2BEOLhAYp_oP6iC_KRUA==,IbA4GlYCRNh8DQOTy2NwQNLf2nDuuoSWjAb53eRYUg==,sJAdaWVfTIkvi3ebdpQPEnFiR-Qlx-fPiyiKARIV98QA8Rt3Qcx9
N4sSUBi9GYIHpLQrYLonxNpRxcaU7pqeZYPR7VdvAQ==,zKZ4idjw253tVONUc_MC-zpVCKOPnkG_gN-tr3tu0A==,MGi1Fvzp0DhrYEQdF2rajJayuBxeJsjv2AEsjfTlUQ==,7zbE2PBmifBmwmKeVjX-YmavrPY2LRMdtm_4R1007g==,BPjeYhhg8z-7FJE4aB7Wtf91NAaFXLVNiKn8AABorik0JmMtlmb0
pvXXD1RRP5GhPpFRJjKGDVXxFy-3TiXYuBVFvc3XlQ==,C02fraeYbQRGmynVsfSV1XjSBXjwy62SYGj2R0HQvw==,QDHaXANkCDwzL9yrRZmnVu-lCOsJDtWeRu-Xp7TGMw==,ywQurMQCD-gFj5AlngDmqLL9tM8J8-4rugIrhTnrKw==,bNdFOF_7ukGpgWj79yQHuJXxY4Kd1SIVH-m_bq2u0hLi-6TO2QjR
0o2jse3k8ahfSFpJ-mvntbMX2pRIwcMRuE7W9VQDRg==,n-K8H7j7cJ6zXYwOlOpIy6klhQo25oAmgGvSiHhQfg==,v84sD983Wlb7M9BPdgF1eYFHInJZOpEZnEO2pXVRHA==,keokWuf3IsBjCtOOIB37_9-hGd9Vf-RROcIDhNwwfQ==,pOS8BThJc_7jtB7ubGMuXb9BTa08KoZDweZ9nD7pGUsrX7Pw79HW
jh-HEUU_Sj9gM6U08sBUatXlJujuEtu2dZFY_zwCNA==,9cgSoiDED--N5wZqFYrqz5z56-TE5EHF3D71d5Hbmg==,RCIVH2hDGtjoJfeDUrkyVjErbL7onBXs2rvrUTbSrQ==,_NAuTyDtAcN0Z-OQMqe0VxvyBAD2CCv_bDnj_JAi4w==,buv93-Xj8FjniikQuTvkFuutlQy8kjoMXDCjEQeffa1IqitLe675
PIzQzfYzGHfk_7ke95CD6FBieIdZnZ6TYjW1z7RyVQ==,MzKAEaELWgZv1TLEcHe66xgcvAy7iiVBuuZzxy7aeQ==,XTqpWvEs2u3aPY4d9-ECMMjHO1g918oJhK-Gwm2ySA==,Ofgd2RICfe5XUOhYJJO0CjvbV7QoAsWECTASxZlBHg==,xkcsGD_ZYGfzA8mFNRirF5wov6ycSaSdOgW2PjuEz6HNsMZNqUNs
